Date,Horse,Amount,Paid,Email,Notes
2025-07-14,Test,10.0,True,onestopmerchshop@gmail.com,Testing this session- here is what we did. 
2025-07-14,Test,10.0,True,onestopmerchshop@gmail.com,Just sending a test to see if this works. Thanks
2025-07-14,Test,10.0,True,heather@lawnstarter.com,Testing this session- here is what we did. 
2025-07-14,Test,10.0,True,thespreadsheetsorcerer@gmail.com,Testing. Here is what we did today
2025-07-14,Test,10.0,True,thespreadsheetorcerer@gmail.com,Testing again what we did today
2025-07-14,test,0.0,False,thespreadsheetsorcerer@gmail.com,test
2025-07-14,Test,10.0,True,thespreadsheetsorcerer@gmail.com,Testing to make sure this is working
2025-07-14,Test,10.0,True,glennaclong@gmail.com,Testing to make sure this is working
2025-07-14,Test,10.0,True,glennaclong@gmail.com,Testing to make sure this is working
2025-07-14,Test 3,15.0,False,glennaclong@gmail.com,Just testing to ensure this works and includes photos. 
2025-07-14,Test 4,5.0,False,glennaclong@gmail.com,Testing- does it include photos
2025-07-14,Test 5,0.0,False,glennaclong@gmail.com,Summary of bla bla bla
2025-07-14,one more,0.0,False,glennaclong@gmail.com,one more test
2025-07-14,testing again,0.0,False,glennaclong@gmail.com,testing again. please work
2025-07-14,testting,0.0,False,glennaclong@gmail.com,test
2025-07-14,again,0.0,False,glennaclong@gmail.com,
2025-07-14,again,0.0,False,glennaclong@gmail.com,
2025-07-14,again,0.0,False,glennaclong@gmail.com,
2025-07-14,hopefully final test,10.0,False,glennaclong@gmail.com,hopefully this is the final test
2025-07-14,Test 11,0.0,False,glennaclong@gmail.com,hoping this is it
2025-07-14,Test 15,0.0,False,glennaclong@gmail.com,Did we capture?
2025-07-14,Test 20,0.0,False,glennaclong@gmail.com,Please let this be the final
2025-07-14,please work,0.0,False,glennaclong@gmail.com,
2025-07-14,please work,0.0,False,glennaclong@gmail.com,
2025-07-14,Horsey Test,0.0,False,glennaclong@gmail.com,This one should have the pics in the message. 
2025-07-14,Working horse version,0.0,False,glennaclong@gmail.com,
2025-07-15,100 Test,10.0,True,glennaclong@gmail.com,Testing inline and logo
2025-07-15,100 Test,10.0,True,glennaclong@gmail.com,Testing inline photos and logo
2025-07-15,200 Test,10.0,True,glennaclong@gmail.com,Another inline test
2025-07-15,300 test,10.0,True,glennaclong@gmail.com,please show a logo
2025-07-15,400 Test,10.0,True,glennaclong@gmail.com,Please show logo
2025-07-15,500 Test,50.0,True,glennaclong@gmail.com,logo hopefully
2025-07-15,Horse 600,0.0,False,glennaclong@gmail.com,
2025-07-15,logo test,0.0,False,glennaclong@gmail.com,
2025-07-15,Test 1000,0.0,False,glennaclong@gmail.com,logo...
2025-07-15,Test 1000,0.0,False,itsalongshotphotography@yahoo.com,logo...
2025-07-15,loo test,0.0,False,itsalongshotphotography@yahoo.com,
2025-07-15,Please work,0.0,False,glennaclong@gmail.com,
2025-07-15,logo,0.0,False,glennaclong@gmail.com,
2025-07-15,One more logo test,50.0,True,itsalongshotphotography@yahoo.com,LEt's see how this looks
